vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,2018-01-22 15:10:09.000000 UTC,2018-01-22 15:10:16.000000 UTC,2,0.15,2,false,3,-52.0,0.0,-0.5,0.0,0.0,-0.3,-52.8,132,132
2,2018-01-09 08:23:09.000000 UTC,2018-01-09 08:25:13.000000 UTC,2,0.0,1,false,3,-3.5,0.0,-0.5,0.0,0.0,-0.3,-4.3,164,164
1,2018-01-08 21:57:25.000000 UTC,2018-01-08 21:57:25.000000 UTC,4,0.0,5,false,2,0.0,0.0,0.0,0.0,0.0,0.3,0.3,231,264
1,2018-01-07 17:09:05.000000 UTC,2018-01-07 17:09:40.000000 UTC,1,2.1,1,false,3,2.5,0.0,0.5,0.0,0.0,0.3,3.3,43,236
2,2018-01-15 17:00:47.000000 UTC,2018-01-15 17:01:14.000000 UTC,1,0.0,1,false,1,2.5,0.0,0.5,0.0,0.0,0.3,3.3,7,193
1,2018-01-16 12:46:08.000000 UTC,2018-01-16 12:46:20.000000 UTC,2,0.0,1,false,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,145,145
1,2018-01-01 00:46:33.000000 UTC,2018-01-01 00:46:58.000000 UTC,1,0.0,1,false,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,158,158
1,2018-01-17 20:59:14.000000 UTC,2018-01-17 20:59:21.000000 UTC,1,0.0,1,false,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,237,237
2,2018-01-05 18:09:23.000000 UTC,2018-01-05 18:09:23.000000 UTC,1,0.0,1,false,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,264,90
2,2018-01-11 09:20:11.000000 UTC,2018-01-11 09:21:37.000000 UTC,2,0.02,1,false,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8,100,100